Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Mileage Allowance UK,Legal Services - Legal Services,"Personal Expense, Name Witheld",50843,67.05,Legal Services Admin-Mileage Allowance UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Other Travel,Legal Services - Legal Services,"Personal Expense, Name Witheld",50843,9.70,Legal Services Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Other Travel,Legal Services - Legal Services,"Personal Expense, Name Witheld",50843,15.00,Legal Services Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Rail Travel UK,Legal Services - Legal Services,"Personal Expense, Name Witheld",50843,11.20,Legal Services Admin-Rail Travel UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Subsistence UK,Legal Services - Legal Services,"Personal Expense, Name Witheld",50843,5.00,Legal Services Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Subsistence UK,Legal Services - Legal Services,"Personal Expense, Name Witheld",50843,5.00,Legal Services Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Subsistence UK,Legal Services - Legal Services,"Personal Expense, Name Witheld",50843,8.18,Legal Services Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Entertaining UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",50844,10.98,E&S Devolved Admin-Entertaining UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Hospitality - UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",50844,45.85,E&S Devolved Admin-Hospitality - UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Mileage Allowance UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",50844,355.55,E&S Devolved Admin-Mileage Allowance UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Other Travel,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",50844,2.50,E&S Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Other Travel,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",50844,9.50,E&S Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Rail Travel UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",50844,22.80,E&S Devolved Admin-Rail Travel UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Subsistence UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",50844,5.00,E&S Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Subsistence UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",50844,34.90,E&S Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Taxi Services UK,"People & Strategy - Director of Change and Corporate Effectiveness, including the BIS Secretariat","Personal Expense, Name Witheld",50845,21.40,P&S Devolved Admin-Taxi Services UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Mileage Allowance UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",50846,168.75,BRDO: PA Delivery-Mileage Allowance UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Other Travel,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",50846,3.00,BRDO: PA Delivery-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Other Travel,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",50846,14.57,BRDO: PA Delivery-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Subsistence UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",50846,15.00,BRDO: PA Delivery-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Subsistence UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",50846,44.95,BRDO: PA Delivery-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Taxi Services UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",50846,7.00,E&S Devolved Admin-Taxi Services UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Taxi Services UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",50846,15.50,BRDO: PA Delivery-Taxi Services UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Mileage Allowance UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",50847,128.70,E&S Devolved Admin-Mileage Allowance UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Other Travel,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",50847,13.30,E&S Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Rail Travel UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",50847,120.00,E&S Devolved Admin-Rail Travel UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Subsistence UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",50847,43.25,E&S Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Mileage Allowance UK,Legal Services - Legal Services,"Personal Expense, Name Witheld",50848,57.15,Legal Services Admin-Mileage Allowance UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Other Travel,Legal Services - Legal Services,"Personal Expense, Name Witheld",50848,3.30,Legal Services Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Other Travel,Legal Services - Legal Services,"Personal Expense, Name Witheld",50848,15.12,Legal Services Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Rail Travel UK,Legal Services - Legal Services,"Personal Expense, Name Witheld",50848,108.50,Legal Services Admin-Rail Travel UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Subsistence UK,Legal Services - Legal Services,"Personal Expense, Name Witheld",50848,5.00,Legal Services Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Subsistence UK,Legal Services - Legal Services,"Personal Expense, Name Witheld",50848,13.50,Legal Services Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Other Travel,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",50849,6.80,E&S Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Other Travel,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",50849,12.89,E&S Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Other Travel,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",50849,51.30,E&S Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Subsistence UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",50849,6.70,E&S Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Subsistence UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",50849,51.59,E&S Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Other Travel,Business & Local Growth - Digital Economy Unit,"Personal Expense, Name Witheld",50850,8.52,BLG Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Other Travel,Business & Local Growth - Digital Economy Unit,"Personal Expense, Name Witheld",50850,29.90,BLG Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Subsistence UK,Business & Local Growth - Digital Economy Unit,"Personal Expense, Name Witheld",50850,5.00,BLG Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Subsistence UK,Business & Local Growth - Digital Economy Unit,"Personal Expense, Name Witheld",50850,14.13,BLG Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Other Travel,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",50851,3.45,BLG Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Other Travel,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",50851,9.23,BLG Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Other Travel,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",50851,23.40,BLG Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Subsistence UK,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",50851,5.00,BLG Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Subsistence UK,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",50851,41.40,BLG Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Taxi Services UK,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",50851,25.00,BLG Devolved Admin-Taxi Services UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/07/2014,Professional Training,Enterprise & Skills Group - Vocational Education Directorate,OFFICE FOR NATIONAL STATISTICS,50866,244.00,E&S Devolved Admin-Professional Training,NP10 8XG,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Learning and Dev - CS Skills,Office of Manpower Economics - Office of Manpower Economics,OFFICE FOR NATIONAL STATISTICS,50867,254.00,OME Devolved Admin-Learning and Dev - CS Skills,SW1V 2QQ,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Economic Consultancy & Research,Economics & Markets - Business Environment,CRANFIELD UNIVERSITY,50869,4500.00,BLG Devolved Admin-Economic Consultancy & Research,MK43 0AL,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Marketing and Media,Economics & Markets - Business Environment,MARKET & OPINION RESEARCH INTERNATIONAL LTD T/A IPSOS MORI,50876,4950.00,E&M Devolved Admin-Marketing and Media,SE1 1FY,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Utilisation of Provisions - Purchase of Goods & Services - Other,Business & Local Growth - Advanced Manufacturing Services,SIMPSON & MARWICK SOLICITORS,50886,5806.00,AMD: British Shipbuilders Provision-Utilisation of Provisions - Purchase of Goods & Services - Other,EH1 3QR,VENDOR,,,
